CUST_ID,CUSTNAME,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,EMAIL_ADDRESS,PHONE_NUMBER,YTD_SALES,SALESREP_ID,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,CREDITCARD_TYPE,CREDITCARD_EXP,CREDITCARD_CVV
10040,Stephen Murillo,Savannah,GA,US,31707,Stephen.B.murillo@trashymail.com,379-218-5577,853.3,WE286,CA,539-546-560,4770000000000000,Diners Club,24-Nov,9036
10041,Mary& Bourland,Albany,NY,US,12207,Mary.H.bourland@mailinator.com,247-893-3910,18735.7,NE238,UK,593-567-916,4650000000000000,Diners Club,24-Nov,2293
10042,Carrol Gibson,Boston,MA,US,2110,Carrol.K.gibson@pookmail.com,882-839-3709,673,NW181,ES,288-762-408,4210000000000000,American Express,24-Dec,5933
10048,Amy Meyers,Albuquerque,NM,US,87107,Amy.B.Lmeyers@trashymail.com,408-623-4161,298.83,WE352,U.S.,866-332-302,4140000000000000,American Express,24-Dec,688
10049,Zachary? Locke,Taos,NM,US,87109,Zachary.M.locke@mailinator.com,753-484-3836,304,SW145,IT,970-485-190,4520000000000000,American Express,24-Dec,2707
10050,Linda Games,Sante Fe,NM,US,87114,Linda.D.games@dodgeit.com,765-285-3572,1820.08,SW277,IT,472-691-684,4430000000000000,American Express,24-Dec,2005
10051,Alfonso Betts,Taos,NM,US,87109,Alfonso.K.betts@pookmail.com,553-715-8233,52,WE418,FR,439-589-844,4220000000000000,American Express,24-Dec,9492
10062,Clifford Cook,Alexandria,VA,US,22306,Clifford.D.cook@dodgeit.com,989-457-5751,5869.4,NC232,ES,501-916-401,4610000000000000,American Express,24-Dec,1135
10392,Maggie Shupe,Waltham,MA,US,2215,Maggie.B.shupe@spambob.com,738-126-4234,492,NE172,IT,113-743-369,4940000000000000,VISA,24-Dec,2370
10063,Edward Roussel@,New Orleans,LA,US,71301,Edward.C.roussel@mailinator.com,668-691-2854,5000.9,WE154,FR,249-490-158,4700000000000000,Diners Club,24-Dec,8236
10064,Karin098 Carrillo,Alexandria,LA,US,71301,Karin.D.carrillo@dodgeit.com,436-985-9697,90.3,RP319,U.S.,780-966-478,4830000000000000,American Express,24-Dec,9359
10069,Roy Gillespie,Los Angeles,CA,US,91801,Roy.L.gillespie@pookmail.com,243-717-8900,2550,SE139,U.S.,845-184-238,4880000000000000,Diners Club,24-Dec,2885
10070,Cheryl Moyle,San Francisco,CA,US,91801,Cheryl.T.moyle@spambob.com,777-356-6761,298.83,SE139,ES,344-796-714,4220000000000000,Diners Club,24-Dec,5283
10072,Shirley Dunn,Oakland,CA,US,92656,Shirley.C.dunn@spambob.com,921-706-8376,52,SW343,FR,361-169-274,4600000000000000,American Express,24-Dec,538
10074,Barbara Lugo,Allen,TX,US,75002,Barbara.J.lugo@spambob.com,422-722-6788,1820.08,NC166,FR,654-177-913,4610000000000000,Discover,24-Dec,1745
10075,Rafael Exley,Baltimore,MD,US,20222,Rafael.G.exley@spambob.com,696-940-6964,352,SC262,U.S.,749-376-665,4320000000000000,American Express,24-Dec,801
10077,Dawn Greenawalt,Allentown,PA,US,18109,Dawn.R.greenawalt@dodgeit.com,764-459-5358,5231,SW343,IT,448-573-904,4050000000000000,Discover,24-Dec,4634
10080,Christopher Griffith,Alma,MI,US,48801,Christopher.A.griffith@mailinator.com,569-132-4505,120,RP121,IT,912-503-378,4170000000000000,American Express,25-Jan,2012
10082,Mary Tracy,Alpena,MI,US,49707,Mary.F.tracy@pookmail.com,919-617-9035,298.83,NC424,UK,211-910-843,4290000000000000,American Express,25-Jan,8136
10084,Derek Johnson,Orlando,FL,US,32701,Derek.B.johnson@spambob.com,701-840-8683,5231,SE337,IT,191-795-470,4360000000000000,Discover,25-Jan,6847
10395,Matt Quijano,Braintree,MA,US,2215,Matt.J.quijano@spambob.com,473-471-5442,853.3,SE205,U.S.,312-915-501,4990000000000000,VISA,25-Jan,4355
10087,Derek Love,Altoona,PA,US,16601,Derek.I.love@dodgeit.com,597-894-9981,492,SW277,CA,867-470-614,4480000000000000,American Express,25-Jan,23
10091,Quinn Gentry,Amarillo,TX,US,79109,Quinn.S.gentry@spambob.com,164-535-8185,6000.28,SC322,IT,542-622-113,4690000000000000,American Express,25-Jan,2365
10095,Kristin Fowler,San Diego,CA,US,92805,Kristin.T.fowler@spambob.com,511-852-7035,486,WE154,FR,392-136-361,4110000000000000,Diners Club,25-Jan,4236
10096,Jennifer Whitney,Anaheim,CA,US,92804,Jennifer.whitney@mailinator.com,431-568-9450,486,SC127,UK,339-653-315,4230000000000000,American Express,25-Jan,8124
10097,Isaac Farmer,Sacramento,CA,US,92805,Isaac.Farmer@mailinator.com,173-790-7370,853.3,WE286,FR,861-819-749,4490000000000000,Diners Club,25-Jan,2326
10098,Mimi Barnes,Anchorage,AK,US,99501,Mimi.Barnes@dodgeit.com,173-790-7370,120,WE286,IT,558-947-717,4240000000000000,Diners Club,25-Jan,5678
10105,Ronald York,Clayton,LA,US,70426,Ronald.L.York@pookmail.com,173-790-7370,18735.7,SC322,U.S.,442-299-933,4780000000000000,American Express,25-Jan,7851
10107,Katherine Williams,Bakersfield,CA,US,94508,Katherine.W.Williams,173-790-7370,6000.28,NC424,ES,894-711-587,4690000000000000,Diners Club,25-Jan,1656
10108,Norma Misawa,Ann Arbor,MI,US,48108,nmisawa@trashymail.com,406-630-1559,52,NE307,CA,851-613-458,4030000000000000,Diners Club,25-Jan,1567
